                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5692,                 6.3716,                 1.0849,                      1,                0.97484,                  0.995,                0.42254,                 2.2662,                 4.0763,                 1.0095,              0.0001569,              0.0001569,              0.0001569
                      1,                 1.4727,                 4.0972,                0.93217,                0.51892,                0.18558,                0.56964,                0.16465,                 2.1824,                 5.1169,                0.92767,             0.00031245,             0.00031245,             0.00031245
                      2,                  1.411,                 3.3741,                0.99989,                0.49407,                      1,                   0.58,                0.23694,                 2.3469,                 3.2571,                 1.0066,             0.00046485,             0.00046485,             0.00046485
                      3,                  1.285,                 3.4166,                0.98235,                0.54682,                0.83333,                0.62996,                0.17653,                 2.1405,                 2.2828,                0.97346,             0.00046186,             0.00046186,             0.00046186
                      4,                 1.3328,                 2.3565,                0.97437,                0.98898,                0.83333,                  0.915,                0.37443,                 1.9017,                 1.5749,                0.97004,             0.00046186,             0.00046186,             0.00046186
                      5,                 1.1817,                 2.2658,                0.90312,                      1,                0.97312,                  0.995,                0.39215,                   1.77,                 1.5882,                0.98491,             0.00045715,             0.00045715,             0.00045715
                      6,                 1.2603,                 2.3245,                0.94686,                      1,                0.99896,                  0.995,                0.54046,                 1.6926,                 1.3228,                0.92509,             0.00045244,             0.00045244,             0.00045244
                      7,                 1.2468,                 1.6698,                0.92737,                0.99298,                      1,                  0.995,                0.42535,                 1.7371,                 0.9163,                0.94568,             0.00044773,             0.00044773,             0.00044773
                      8,                 1.3033,                 1.7793,                 1.0023,                0.99372,                      1,                  0.995,                0.32557,                 1.9622,                 1.3963,                0.98583,             0.00044301,             0.00044301,             0.00044301
                      9,                 1.2407,                 1.8237,                0.96743,                0.80621,                0.83333,                0.91333,                0.42855,                 2.0366,                0.97676,                0.97778,              0.0004383,              0.0004383,              0.0004383
                     10,                 1.3497,                 1.4986,                 1.0026,                0.85555,                0.98886,                0.97214,                0.38032,                 2.0327,                0.91818,                0.96105,             0.00043359,             0.00043359,             0.00043359
                     11,                 1.4439,                 1.6599,                0.92939,                0.73845,                      1,                 0.8785,                0.36387,                 1.8967,                0.93739,                0.95109,             0.00042888,             0.00042888,             0.00042888
                     12,                 1.3076,                  1.499,                0.98604,                0.66477,                      1,                 0.8271,                0.43102,                 1.9947,                 1.0352,                0.97095,             0.00042416,             0.00042416,             0.00042416
                     13,                  1.125,                 1.3036,                0.90036,                 0.7454,                0.97854,                0.89833,                0.42783,                 1.9201,                 1.1273,                0.96092,             0.00041945,             0.00041945,             0.00041945
                     14,                 1.2221,                  1.282,                0.90892,                      1,                0.99315,                  0.995,                0.50106,                 1.6158,                0.79807,                0.91984,             0.00041474,             0.00041474,             0.00041474
                     15,                 1.1571,                 1.1663,                0.85139,                      1,                0.99267,                  0.995,                0.46594,                   1.64,                0.86912,                0.91462,             0.00041003,             0.00041003,             0.00041003
                     16,                 1.1893,                 1.2405,                0.94472,                0.99707,                      1,                  0.995,                0.50076,                 1.5127,                0.78213,                0.90874,             0.00040531,             0.00040531,             0.00040531
                     17,                 1.1932,                 1.1056,                0.86275,                      1,                0.99778,                  0.995,                0.46289,                 1.5534,                0.82709,                0.91674,              0.0004006,              0.0004006,              0.0004006
